,City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Itarema,-2.9248,-39.9167,79.3,76,11,12.26,BR,1610244700
1,Vaini,-21.2,-175.2,84.2,84,75,8.05,TO,1610244702
2,Tabas,33.5959,56.9244,28.4,37,0,2.3,IR,1610244703
3,Broken Hill,-31.95,141.4333,86.0,23,0,8.05,AU,1610244704
4,Marsabit,2.3284,37.9899,66.31,49,6,8.99,KE,1610244706
5,Oranjemund,-28.55,16.4333,61.75,86,1,14.7,NA,1610244708
6,Norman Wells,65.282,-126.8329,1.4,92,20,5.75,CA,1610244758
7,Saint-Philippe,-21.3585,55.7679,75.2,60,0,5.75,RE,1610244759
8,Nome,64.5011,-165.4064,-11.2,77,1,3.44,US,1610244696
9,Atuona,-9.8,-139.0333,78.08,78,77,14.18,PF,1610244761
10,Yellowknife,62.456,-114.3525,9.0,85,1,5.75,CA,1610244762
11,Hualmay,-11.0964,-77.6139,70.83,82,100,8.39,PE,1610244764
12,Abéché,13.8292,20.8324,69.24,23,0,15.5,TD,1610244765
13,Kavaratti,10.5669,72.642,81.59,77,99,11.83,IN,1610244766
14,Punta Arenas,-53.15,-70.9167,46.4,81,90,10.36,CL,1610244767
15,Souillac,-20.5167,57.5167,78.8,89,75,8.05,MU,1610244769
16,Hambantota,6.1241,81.1185,75.2,100,75,3.44,LK,1610244770
17,Faya,18.3851,42.4509,48.2,70,0,1.1,SA,1610244771
18,Ahipara,-35.1667,173.1667,67.53,80,62,8.25,NZ,1610244772
19,San Quintín,30.4833,-115.95,58.35,81,0,5.21,MX,1610244773
20,Rikitea,-23.1203,-134.9692,78.93,75,100,13.78,PF,1610244775
21,Saint George,37.1041,-113.5841,46.0,36,1,19.57,US,1610244673
22,Jamestown,42.097,-79.2353,30.0,93,90,5.75,US,1610244631
23,Port Elizabeth,-33.918,25.5701,68.0,83,0,16.11,ZA,1610244778
24,Bluff,-46.6,168.3333,64.0,72,98,21.99,NZ,1610244779
25,Coria,39.9879,-6.5377,37.0,78,87,4.0,ES,1610244783
26,Chakradharpur,22.7,85.6333,66.2,88,75,1.57,IN,1610244784
27,Constantine,36.365,6.6147,48.2,93,40,8.05,DZ,1610244785
28,Fairview,40.8126,-73.999,37.4,41,75,6.96,US,1610244786
29,Hermanus,-34.4187,19.2345,63.0,94,100,12.41,ZA,1610244782
30,Bredasdorp,-34.5322,20.0403,62.6,82,99,6.91,ZA,1610244791
31,Ribeira Grande,38.5167,-28.7,59.07,71,100,14.7,PT,1610244859
32,Esperance,-33.8667,121.9,69.8,78,90,21.85,AU,1610244859
33,Tahoua,14.8888,5.2692,74.32,19,0,11.27,NE,1610244860
34,Busselton,-33.65,115.3333,70.0,78,100,3.0,AU,1610244860
35,Tasiilaq,65.6145,-37.6368,19.4,45,75,4.61,GL,1610244860
36,Jining,35.405,116.5814,30.07,65,0,6.31,CN,1610244860
37,Hobart,-42.8794,147.3294,80.01,52,20,16.11,AU,1610244860
38,Petatlán,17.5167,-101.2667,72.91,77,68,2.89,MX,1610244860
39,Butaritari,3.0707,172.7902,81.41,81,100,19.91,KI,1610244860
40,Kapaa,22.0752,-159.319,79.0,83,75,6.91,US,1610244860
41,Srednekolymsk,67.45,153.6833,-28.14,84,96,5.79,RU,1610244860
42,Avarua,-21.2078,-159.775,84.2,61,20,12.66,CK,1610244860
43,Mayo,38.8876,-76.5119,41.0,56,1,10.36,US,1610244860
44,Taoudenni,22.6783,-3.9836,66.27,40,0,12.82,ML,1610244860
45,Hilo,19.7297,-155.09,80.6,57,20,11.5,US,1610244807
46,Port Hawkesbury,45.6169,-61.3485,34.0,93,75,2.3,CA,1610244861
47,Bethel,41.3712,-73.414,30.2,47,1,8.05,US,1610244861
48,Provideniya,64.3833,-173.3,-6.75,82,0,6.17,RU,1610244861
49,Port Alfred,-33.5906,26.891,69.01,86,27,5.99,ZA,1610244861
50,Cayenne,4.9333,-52.3333,75.2,100,75,3.44,GF,1610244861
51,Olafsvik,64.8945,-23.7142,26.64,89,89,7.83,IS,1610244861
52,Lebu,-37.6167,-73.65,54.63,87,0,6.91,CL,1610244861
53,Tingo María,-9.2895,-76.0088,69.48,84,98,2.53,PE,1610244861
54,Tuatapere,-46.1333,167.6833,64.0,72,89,21.99,NZ,1610244861
55,Khanbari,27.3747,87.2039,55.54,45,100,2.73,NP,1610244861
56,Saint Paul Harbor,57.79,-152.4072,37.4,87,90,25.32,US,1610244861
57,Carnarvon,-24.8667,113.6333,89.6,51,73,20.71,AU,1610244862
58,Pitimbu,-7.4706,-34.8086,78.8,83,0,4.61,BR,1610244862
59,Yevlax,40.6089,47.1492,26.6,93,0,6.67,AZ,1610244862
60,Severo-Kuril'sk,50.6789,156.125,23.34,86,95,15.88,RU,1610244862
61,Yashalta,46.3395,42.2762,41.11,83,100,11.27,RU,1610244862
62,Domoni,-12.2569,44.5319,80.04,81,89,11.12,KM,1610244862
63,Laas,46.6166,10.7002,19.99,73,0,6.91,IT,1610244862
64,Bokovskaya,49.229,41.8306,30.02,93,88,15.46,RU,1610244862
65,Ushuaia,-54.8,-68.3,46.4,87,75,19.57,AR,1610244788
66,Hong Kong,22.2855,114.1577,54.0,23,99,8.99,HK,1610244610
67,Pevek,69.7008,170.3133,-23.13,88,93,3.94,RU,1610244862
68,Mataura,-46.1927,168.8643,64.0,72,94,21.99,NZ,1610244863
69,Marrakesh,31.6315,-8.0083,46.4,81,75,11.5,MA,1610244863
70,Lucea,18.451,-78.1736,75.99,94,75,3.44,JM,1610244863
71,Port Lincoln,-34.7333,135.8667,86.36,26,52,11.16,AU,1610244863
72,Saskylakh,71.9167,114.0833,-26.0,84,100,8.48,RU,1610244863
73,Ust'-Karsk,52.7011,118.8077,-8.72,83,97,2.06,RU,1610244863
74,Katsuura,35.1333,140.3,41.0,33,20,5.75,JP,1610244863
75,Balikpapan,-1.2675,116.8289,82.4,78,40,4.61,ID,1610244863
76,Saldanha,-33.0117,17.9442,64.4,82,37,6.91,ZA,1610244863
77,Sitka,57.0531,-135.33,42.8,65,90,23.02,US,1610244863
78,Avera,33.194,-82.5271,39.2,87,1,5.75,US,1610244863
79,Dikson,73.5069,80.5464,-3.57,91,100,15.05,RU,1610244863
80,Lishan,31.8576,113.2951,37.11,59,100,1.63,CN,1610244864
81,Accrington,53.7538,-2.3586,35.01,89,100,5.01,GB,1610244864
82,Cairns,-16.9167,145.7667,93.0,66,75,6.91,AU,1610244864
83,Chingirlau,51.095,54.0814,25.48,97,100,18.59,KZ,1610244864
84,Auki,-8.7676,160.7034,86.38,67,98,4.79,SB,1610244864
85,Arraial do Cabo,-22.9661,-42.0278,76.91,91,0,15.7,BR,1610244864
86,São Filipe,14.8961,-24.4956,72.01,73,63,17.56,CV,1610244864
87,Lüderitz,-26.6481,15.1594,67.91,56,25,22.64,NA,1610244864
88,Charlestown,-32.95,151.6667,81.0,67,21,7.72,AU,1610244864
89,São José da Coroa Grande,-8.8978,-35.1478,77.9,78,100,10.25,BR,1610244864
90,Alta Floresta,-9.8756,-56.0861,74.75,89,76,4.43,BR,1610244864
91,Alihe,50.5667,123.7167,-1.66,86,94,3.2,CN,1610244865
92,San Patricio,28.017,-97.5169,55.4,76,90,12.66,US,1610244865
93,Albany,42.6001,-73.9662,27.0,57,100,3.0,US,1610244865
94,Dolores,-36.3132,-57.6792,66.24,62,0,12.88,AR,1610244865
95,Les Cayes,18.2,-73.75,75.43,80,97,4.12,HT,1610244629
96,Thompson,55.7435,-97.8558,5.0,92,1,6.91,CA,1610244865
97,Ponta do Sol,32.6667,-17.1,53.01,72,64,3.0,PT,1610244866
98,Lorengau,-2.0226,147.2712,86.32,57,100,3.76,PG,1610244866
99,Cabo San Lucas,22.8909,-109.9124,66.2,63,1,8.05,MX,1610244695
100,Qaqortoq,60.7167,-46.0333,42.8,39,75,24.16,GL,1610244866
101,Trofaiach,47.4167,15.0,28.99,48,100,1.99,AT,1610244866
102,Lat Yao,15.751,99.7893,75.0,52,2,5.37,TH,1610244866
